,n_cpus,tempo_medio,tempo_std
0,1,132.34562357902527,3.645822558257339
1,2,77.77759940862656,3.383736013429839
2,3,47.60816260576248,1.5054894555396943
3,4,41.01800320625305,1.9116477584064628
4,5,34.17870591640472,1.5377905138577483
5,6,26.506721012592315,2.017843918425413
6,7,24.917163565158845,1.9142592081954206
7,8,24.31937050819397,2.2118620763431704
8,9,14.776371927261353,0.9722756016605806
9,10,14.89779504776001,0.9037047272755572
10,11,15.058578596115112,0.7853168989075581
11,12,15.369466586112976,0.8855768406783439
12,13,15.644848611354828,0.6829539770797706
13,14,15.993457329273223,0.5114182916182736
14,15,16.408857657909394,0.38546608992540504
15,16,16.69719120979309,0.1539150064017389
